timestamp rx ry rz vx vy vz qx qy qz qw r p y 
1634146528347662 1.254670143 1.450039029 -4.875761032 0.585127771 0.477823973 0.256417871 -0.000507554 0.037052806 0.044026576 0.998342931 0.035081051 -0.033954293 0.000250739
1634146528395662 1.280584335 1.476417065 -4.862957001 0.543594718 0.433338404 0.282652795 -0.000621588 0.037654765 0.044573884 0.998296022 0.007328724 -0.019468876 0.002209399
1634146528447740 1.306718349 1.504209161 -4.847098827 0.499491692 0.387159139 0.321449637 -0.000667282 0.038014099 0.044532739 0.998284221 -0.008981635 -0.011006459 0.002460060
1634146528495740 1.328958511 1.527224898 -4.830500603 0.460429758 0.345976532 0.359302193 -0.000721625 0.038047399 0.044270687 0.998294532 -0.016731717 0.007852693 0.001263173
1634146528547818 1.351202965 1.548604727 -4.810440540 0.420179427 0.302578717 0.413080424 -0.000804432 0.037628569 0.043613721 0.998339355 -0.033888742 0.026403232 0.003915136
1634146528595818 1.369981647 1.565938950 -4.789374828 0.383908838 0.263298959 0.460492194 -0.000862506 0.036909886 0.042686749 0.998406172 -0.044260293 0.032953322 0.001799828
1634146528647896 1.388591647 1.581658125 -4.763664246 0.347504050 0.224198878 0.524630487 -0.000906736 0.035678353 0.041222472 0.998512447 -0.072612859 0.058950640 -0.001483073
1634146528695896 1.404195547 1.594106436 -4.736570835 0.314838588 0.190102071 0.582092583 -0.000921196 0.034094952 0.039332010 0.998643935 -0.086891286 0.067381375 0.000589052
1634146528747980 1.419538736 1.605105639 -4.703903675 0.283972502 0.155906305 0.660658717 -0.000919982 0.031813119 0.036717586 0.998818755 -0.117104694 0.104009628 -0.002403539
1634146528795980 1.433139205 1.613713384 -4.669819832 0.257732123 0.127295569 0.729707181 -0.000861102 0.029130293 0.033711996 0.999006569 -0.130981565 0.113663547 -0.003708297
1634146528848064 1.447513342 1.621351480 -4.628671169 0.233984679 0.100695297 0.820637226 -0.000780808 0.025706491 0.029817548 0.999224544 -0.169804677 0.146607295 -0.007174153
1634146528896064 1.459683418 1.627020359 -4.586730480 0.214575589 0.079416953 0.897637427 -0.000680445 0.021990541 0.025552422 0.999431431 -0.176555991 0.150670633 -0.008909009
1634146528948148 1.471656561 1.631683469 -4.536871433 0.197454408 0.061196383 0.999534070 -0.000544144 0.017488495 0.020391962 0.999638975 -0.224811763 0.197804704 -0.008050813
1634146528996148 1.481935740 1.635060787 -4.486104488 0.184770927 0.048439927 1.083249211 -0.000402026 0.012671672 0.014857673 0.999809325 -0.222496182 0.194483325 -0.007542528
1634146529048232 1.492258549 1.637828469 -4.427417278 0.175150201 0.038392574 1.146950126 -0.000245286 0.008213099 0.009877093 0.999917567 -0.158754796 0.143227011 -0.005169146
1634146529096232 1.501388669 1.639823794 -4.370990753 0.169238225 0.031487752 1.183101535 -0.000096157 0.005506590 0.006864501 0.999961257 -0.089316659 0.082384206 -0.004729251
1634146529148311 1.510820150 1.641448379 -4.308620930 0.164068639 0.025711887 1.206459284 0.000034452 0.004312707 0.005355402 0.999976337 -0.031090856 0.018102979 -0.002474533
1634146529196311 1.519459605 1.643120766 -4.250936508 0.159288913 0.021001287 1.217626333 0.000132770 0.004545962 0.005114749 0.999976575 0.008710997 -0.030943239 -0.003689193
1634146529248395 1.528642893 1.645204663 -4.188532829 0.153647780 0.016600262 1.222205997 0.000239980 0.005656123 0.005651659 0.999967992 0.028336426 -0.050981753 -0.005807708
1634146529296395 1.536804676 1.646703362 -4.130564690 0.148236752 0.011367694 1.221904755 0.000324474 0.007004865 0.006416620 0.999954879 0.037216499 -0.056769066 -0.003460615
1634146529348480 1.545107484 1.647744775 -4.067687988 0.140523478 0.005370806 1.219505906 0.000414692 0.008413075 0.007215835 0.999938488 0.025133792 -0.051652748 -0.001815143
1634146529396480 1.552352428 1.648255110 -4.009845257 0.132131472 -0.000645422 1.216440082 0.000535744 0.009484810 0.007740493 0.999924958 0.016534479 -0.040460803 -0.004479120
1634146529448564 1.559584022 1.648283243 -3.947245836 0.122373983 -0.007669477 1.211163402 0.000562261 0.010187818 0.007872849 0.999916971 -0.001432373 -0.018542960 -0.001346395
1634146529496564 1.565764904 1.647873163 -3.889657259 0.113148049 -0.013569101 1.206067562 0.000629152 0.010447312 0.007647607 0.999916017 -0.016716270 -0.004586117 -0.000624171
1634146529548649 1.571843743 1.647021532 -3.827468395 0.102548622 -0.019384375 1.200708270 0.000683410 0.010340655 0.007170694 0.999920666 -0.019269207 0.012663235 -0.003049183
1634146529596649 1.577586293 1.646053314 -3.771221638 0.094180487 -0.024625514 1.195146203 0.000702103 0.010048226 0.006700999 0.999926805 -0.019816244 0.013352947 0.000221064
1634146529648727 1.583511710 1.644736290 -3.710785866 0.085595779 -0.029608730 1.189762592 0.000702126 0.009637950 0.006088178 0.999934793 -0.022055497 0.018484592 0.003049766
